key,en,de
calibration,calibration,kalibrierung
calibration-button,calibrate,kalibrieren
calibration-intro,Align the following scheme to the coloured version on the poster and press Calibrate.,Richte das Bild an dem bunten Symbol auf dem Poster aus und best채tige um das Bild zu kalibrieren.
credits,credits,impressum
credits-back,back,zur체ck
credits-designed,Designed by,Designed von
credits-developed,Developed by,Entwickelt von
label-c,digital spaces,digitale r채ume
label-m,motivations,motivationen
label-y,relationships,beziehungen
language-code,en,de
language-name,English,Deutsch
start-button,start,start
start-cta,Press start when you are ready.,Dr체cke auf start wenn du bereit bist.
start-intro,"To explore the poster, give access to your phone camera and calibrate it.",Gib den Kamerazugriff frei und kalibriere die Farbwerte um das Poster zu erforschen.
title,Stories of Online Harassment,Stories of Online Harassment
